sample	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H20	H21	H22	H23	H24	H25	H26	H27	H28	H29	H30	H31	H32	H33	H34	H35	H36	H37	H38	H39	H40	H41	H42	H43	H44	H45	H46	H47	H48	H49	H50	H51	H52	H53	H54	H55	H56	H57	H58	H59	H60	H61	H62	H63	H64	H65	H66	H67	H68	H69	H70	H71	H72	H73	H74	H75	H76	H77	H78	H79	H80	H81	H82	H83	H84	H85	H86	H87	H88	H89	H90	H91	H92	H93	H94	H95	H96	H97	H98	H99	H100	H101	H102	H103	H104	H105	H106	H107	H108	H109	H110	H111	H112	H113	H114	H115	H116	H117	H118	H119	H120	H121	H122	H123	H124	H125	H126	H127	H128	H129	H130	H131	H132	H133	H134	H135	H136	H137	H138	H139	H140	H141	H142	H143	H144	H145	H146	H147	H148	H149	H150	H151	H152	H153	H154	H155	H156	H157	H158	H159	H160	H161	H162	H163	H164	H165	H166	H167	H168	H169	H170	H171	H172	H173	H174	H175	H176
COG1204	9.452684787	8.958601148	10.39121448	9.063158405	7.190040231	7.23571528	6.606210516	6.760181217	8.120330398	8.924918883	8.847009069	7.449458358	6.451169238	8.533037025	6.216086956	9.224841207	6.344366923	6.376191943	6.973115887	NaN	NaN	7.311325732	9.467738301	NaN	NaN	8.927986973	NaN	9.062634623	6.423013259	8.513346805	8.3159095	6.303341014	NaN	5.915514858	6.364714364	6.393948974	8.351032531	NaN	6.338777315	6.382895735	7.059783009	NaN	6.246784323	6.754904687	NaN	7.220518668	7.523885588	8.65437583	9.472073149	9.52278319	9.320127584	6.452631336	6.6848293	6.676962423	NaN	7.920699746	7.099466583	6.322293946	NaN	8.088217626	6.850938382	6.125159411	6.631228699	6.122045733	6.25958934	6.573257071	7.316360427	NaN	7.146840965	NaN	6.408535219	6.43434707	NaN	NaN	7.045252586	7.253829725	NaN	5.808113026	6.589602362	6.569054334	7.008808796	6.932405825	9.037358759	9.354012346	NaN	6.194500744	6.542706073	NaN	NaN	NaN	5.825714902	6.564397476	6.062420645	NaN	NaN	7.83170665	7.30242187	8.923451788	8.279856225	6.964932054	7.147333111	NaN	6.581765508	9.221588964	7.069694028	NaN	6.919482426	9.033013395	8.28083323	8.605292115	6.611966509	6.580862392	NaN	9.502648308	9.511484964	8.667635973	NaN	7.294805615	8.711155721	NaN	8.221038472	9.04697095	NaN	6.661666098	6.707118701	8.498358807	7.297631429	7.536432188	9.469087497	8.318559986	9.487377384	7.435162476	8.064446761	7.666241788	7.131718117	NaN	8.384052191	NaN	NaN	8.2156027	6.903295197	6.863556662	7.085529642	8.659781235	8.849103561	8.780992357	5.955562205	6.246341231	NaN	6.247484963	6.323883174	NaN	6.643553441	NaN	8.807520146	9.62607848	9.211817097	9.76885586	8.857925025	7.620012112	6.5050008	NaN	NaN	NaN	6.405573609	9.371078951	8.583530889	9.368242244	8.868376963	7.645685527	6.286739545	6.750197489	8.600878191	9.584618284	7.577807651	7.809916437
COG0030	9.769143867	7.471608528	NaN	9.018117721	7.336433735	NaN	NaN	NaN	7.385200403	9.703487411	8.349099695	NaN	NaN	7.125058184	7.25926292	9.407696758	NaN	NaN	7.185556348	6.977452933	7.496076833	7.245887603	9.943173375	NaN	7.265839596	7.96155113	7.916912222	8.766466388	NaN	9.545516171	9.260388641	NaN	NaN	NaN	NaN	NaN	9.508579542	7.243682832	6.76172274	NaN	7.899176246	7.333892445	NaN	NaN	NaN	NaN	NaN	8.148571812	9.551204723	9.785416685	9.702134874	NaN	NaN	NaN	6.547499155	6.834866914	NaN	NaN	NaN	7.667192307	6.662688056	7.35373165	NaN	NaN	NaN	NaN	NaN	NaN	7.171746954	7.047045039	NaN	NaN	NaN	NaN	NaN	6.927618292	NaN	NaN	7.162131121	NaN	NaN	6.99892122	8.894241274	9.570246304	7.398410893	7.679596957	7.276902103	NaN	NaN	NaN	NaN	6.368270331	NaN	7.132070718	NaN	6.950107269	7.130002324	NaN	8.559420615	6.476254842	7.645545083	7.139614684	7.454861637	8.797471134	NaN	NaN	NaN	8.711251821	7.559584685	8.777964464	NaN	NaN	NaN	8.99427755	9.998414105	9.991009318	5.931469058	NaN	9.752618422	NaN	7.696659686	9.345326671	NaN	NaN	NaN	9.439200017	9.418103991	9.235879276	7.545474133	7.994215942	8.803524714	6.956779136	7.354515659	8.392234282	7.437160552	6.878693584	7.879654314	NaN	6.85091512	7.055248368	8.548651526	7.218301779	7.627643358	8.954690567	9.390795616	9.044880634	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.076942489	9.467027672	9.161598567	9.612667323	9.380055592	NaN	NaN	7.694547298	NaN	7.149108246	NaN	9.752267462	9.125689417	9.728287212	9.198486634	8.364952276	NaN	NaN	7.014327331	8.854868742	7.070787569	NaN
COG0667	10.33722954	8.386229389	9.134833474	10.29543475	8.19633318	7.978222533	7.846149378	8.119336408	8.841600519	9.985724243	8.966776888	7.915897174	8.00121433	8.289439713	8.228968294	9.493713227	8.267576727	7.981990393	7.977008813	8.512369407	7.859638865	8.32165414	8.611004908	7.635881678	7.918893876	8.583327003	8.654406716	9.888744327	8.132624334	9.141885417	9.170772005	8.391376946	8.179861033	7.561349851	7.294847466	8.322302218	10.73406748	7.645594784	8.263497122	8.444466499	8.416650493	7.6397242	7.938203851	7.980201742	8.29270631	7.548344954	7.936490072	8.988759115	10.13976811	10.2045967	10.52742535	8.408087513	8.139158507	7.605162783	7.642292757	7.962158394	7.761566284	7.695912351	8.012971713	8.956886872	7.954339737	8.313009276	7.609355012	8.164813977	7.859794595	7.547954304	7.898390564	7.637986792	7.526228247	6.68082493	7.519893081	7.65726435	7.740899864	8.128247178	7.509816568	7.862029899	7.740595575	7.672907487	7.704670681	8.190787191	7.939780355	8.338569039	8.877125445	9.447744755	8.279605356	8.030405404	7.744927224	8.026427481	8.325519893	8.649580177	7.869069128	7.839588027	7.906257449	7.975447668	8.052649322	8.005619996	7.744199862	8.505055646	8.87137746	8.515481426	7.802478996	7.736871424	7.942195137	9.280173022	7.568887848	8.244902502	8.442822524	9.597817923	7.680760361	9.365821066	7.49511859	8.185195462	8.159493715	8.548070369	8.47454201	8.837640261	7.348445081	7.886896635	10.13641938	6.61168731	8.256561413	8.917794453	8.16633182	8.112253003	8.852797913	9.80654212	10.19170792	10.37916034	9.170900949	9.359540346	9.346470062	7.971469109	7.894117156	9.225043557	7.680044384	8.050408068	9.022031939	7.907879807	7.422688489	7.402455714	7.912451109	7.854282966	8.175750062	8.686493269	9.152606303	8.882053845	8.105743248	7.887569148	7.713335119	8.371522785	8.31361317	8.221197952	7.98211423	8.278339455	8.579677411	8.501224319	9.425014142	10.15575112	10.66785106	9.240754866	7.166080673	8.305596399	8.385992858	7.521351921	7.625081472	9.98425899	9.62385791	9.361212741	9.838652267	8.939601861	7.965488631	7.82140806	8.721567112	10.27280405	9.010675349	8.734502201
COG0775	10.00838723	8.948784989	8.511210687	9.244294443	7.966785425	8.169439302	8.314870359	8.504331446	9.121832777	9.782511802	9.23588024	7.799865528	8.465096764	8.718870227	8.104516818	10.31152846	7.998376752	7.887176881	7.467102506	NaN	8.67166023	8.562125112	9.841359758	7.61661624	7.271486152	9.40351001	7.421095818	9.971342101	8.963002225	9.811964222	9.580986525	8.514231946	8.595445956	8.402701991	8.148883255	8.246946434	9.832545315	7.391205151	8.056944207	8.5852474	8.557146144	7.357158156	7.815111668	7.874467327	7.691041342	7.633389882	7.998425006	8.983807616	9.946243419	9.673241198	9.785583218	7.600688726	7.623715813	8.377931558	7.85606033	8.429052326	8.573734805	8.122490466	8.453273686	9.038564018	7.667977068	7.508368643	7.977833313	7.914564855	7.872722532	8.150219765	8.62100357	8.32602109	7.730813765	7.683529909	7.779683349	7.439935566	7.460121746	7.964141119	8.656022171	8.618308805	7.351013582	7.595071651	7.438404698	7.915743235	8.441125548	9.188940206	9.430619164	9.588426602	7.532355575	7.609286997	7.943840137	8.240021787	7.733335326	8.658666068	7.787804663	7.916176127	7.817109028	7.999848844	7.369644391	8.21484491	7.364044386	7.567320751	8.778751538	7.590855215	7.6089131	7.624926983	7.596014982	9.324198058	8.670756221	8.545245248	8.62282513	9.400254699	8.554857277	9.234550184	7.99623271	8.336941795	8.349025429	9.478643825	8.394749807	9.358443093	7.551970607	7.587735664	8.271792835	8.426505749	9.238113778	9.767799229	7.366645763	8.113298785	7.915433084	9.385164695	9.777780567	9.403724337	10.12379286	8.770405637	9.78800945	8.150092432	7.653973898	9.216809607	7.733108719	8.210608678	8.739029336	9.202377277	7.648743397	7.90040925	8.380409345	8.076982506	8.434594452	9.315901231	9.216901863	9.29662698	8.250714396	8.23926694	8.96689464	7.982739616	8.045679466	7.752547031	7.809097575	8.642770596	9.780824902	9.773832504	9.766293846	9.564278932	9.318226165	8.871281558	NaN	7.130665025	7.29048651	7.539504421	7.925334791	9.369377296	9.737331022	9.562485875	8.660861686	9.205466919	8.611648867	8.291592581	9.222364108	9.37099763	8.950195924	8.875197374
COG0749	9.662604952	9.241776193	8.118201879	9.148511036	7.634932497	7.933172644	7.850903618	7.514773487	8.715589147	9.296173589	8.364508598	8.321963401	8.161742834	7.502382609	7.649100033	9.259776588	8.071521544	7.78507396	8.636361703	8.710962697	8.473706472	8.789993456	9.433484258	8.534016456	7.619464629	8.793529172	8.951556962	7.891584848	7.972753927	9.256671332	9.024110568	7.761439178	7.734835827	8.183577304	8.037973846	8.343860972	9.689603618	7.609054685	8.004160702	8.059053593	7.691711699	7.474722854	7.849548829	7.644487245	8.004556521	7.956454428	7.83785052	7.807764974	9.826963872	9.637183915	9.619054597	7.767239681	7.828739151	8.00742322	7.56426473	7.615311927	7.613592385	8.399019193	8.163413947	8.608177175	8.35314572	8.587153174	7.652998219	7.503167125	8.151727378	8.182197796	7.550696661	8.213781868	8.131893976	8.08561167	8.127400928	7.801515604	7.853027951	7.683954333	8.374656898	8.686735003	7.407049811	7.413665507	7.719580943	8.306272088	8.409963035	8.999200511	8.998893486	9.290842827	8.179743508	7.941911262	7.779131583	7.621886375	8.233147455	7.216814905	8.328160731	7.67396501	7.519771059	7.753184819	8.273926274	8.450803113	7.901966976	9.375617677	8.600743607	7.641809528	8.124885861	8.274778933	7.83526768	9.757627715	8.085178086	7.976538886	NaN	9.033918007	8.785620047	8.918600735	8.209892582	8.264864864	8.273855357	8.851222503	8.209045618	8.748330701	7.828290531	8.412523211	10.09898272	8.327061266	8.593517999	9.138713741	7.892766132	7.918780321	7.975185873	9.271729698	9.411967592	9.78080168	8.830104068	9.019771685	8.778966958	8.10567638	8.266086753	8.96583358	8.353234669	8.344663576	8.93725503	8.215841053	7.844047708	6.84817501	8.357046113	8.161077979	8.215442711	9.343218783	9.557049101	9.31413739	7.909321977	8.22578907	8.045849295	7.232187749	7.104696731	7.572644653	8.605450474	8.564322873	9.508430056	9.392987675	9.372134915	9.162068598	9.523083727	8.956391766	8.131154777	8.4369405	7.397034012	7.879917914	7.824996031	8.967793321	9.000663963	8.658702664	9.388415614	9.345767848	7.835621339	8.68737546	8.452412107	9.109720252	8.60030505	8.47989735
COG0773	8.554365215	8.173602878	NaN	8.85129566	7.955938208	8.001101281	8.020214315	8.129575765	7.764884561	9.334104567	8.594046857	7.644476118	7.721265394	6.890741228	7.685005868	9.579623072	7.937562628	7.922257138	7.850135017	7.709349696	7.839075626	7.798434901	8.600538712	7.813639965	7.520123515	8.28247574	7.659498345	8.816630864	8.103459333	7.881775409	7.851538415	7.967031481	7.245853085	7.72760738	7.658744792	7.966646634	8.089622908	8.18584351	8.468361749	8.342286984	8.2848805	8.113184682	7.936648187	8.029133808	7.8360017	7.585868786	7.889846616	8.076573059	9.387065123	9.73558453	9.696096521	7.635660857	7.939825751	7.838952497	7.875430552	8.058416689	8.247498893	7.861990813	7.881253612	8.032526095	8.349442394	7.891192009	8.138673573	8.050122627	7.842821349	7.732259196	7.970604405	7.704001673	7.616007368	7.642344118	7.522550394	7.255795539	7.959212409	7.820146207	7.592626602	7.293610043	7.885946733	6.787918686	7.627043509	8.013506833	7.465331105	7.368562086	8.074910751	9.586902065	NaN	7.599058232	8.227175836	7.517083165	7.360049751	7.885270738	8.222995529	8.267460968	7.815002964	7.921577243	8.228386552	7.93990092	7.633346139	7.573958312	8.083764268	8.025058579	7.936331044	8.068699403	7.501041465	9.072084386	7.941899843	7.831093241	7.727419255	7.640580816	7.773974313	7.93776341	7.834931072	7.263961868	7.900348014	8.540733545	9.91826257	9.12657707	7.275018216	7.295517423	9.004007365	7.94389203	8.110834028	9.330093597	7.5956784	NaN	7.224993813	9.421252994	9.404330944	9.066909873	7.746710474	8.321175737	9.340836786	7.568110055	7.818937481	7.320568344	8.136231159	8.063650053	8.031770055	7.877413973	7.792038864	7.827468019	8.137622838	8.059553766	7.749849132	7.74821161	8.585827188	8.405610991	7.844701168	7.611162728	NaN	8.448966048	8.425501942	8.310085004	7.938033879	8.247021441	9.153876454	9.481754134	8.743567772	7.970150148	8.948477665	8.565919803	7.605677765	7.720174202	7.614381459	7.865461223	7.824207027	9.180594712	9.645771559	9.840894038	8.780311047	8.140508046	8.08542902	8.183184973	8.060159741	8.657203718	8.245994075	7.53118466
COG2972	8.736291303	NaN	NaN	8.905711711	6.930001562	7.324668641	NaN	NaN	8.090754865	8.87112966	8.267683193	7.543354483	7.222812447	8.115054395	7.240402487	9.75027328	NaN	7.01357452	7.745134706	7.735328188	8.64679375	7.78054485	9.545142276	7.277687151	7.708283544	8.625297015	9.02555408	8.420581971	7.596641084	9.187802639	9.070248495	NaN	8.524837724	8.326491321	NaN	7.574886287	9.057841004	7.505482507	7.381844931	7.118268067	7.471749254	7.195999252	7.220618764	6.813701787	NaN	NaN	6.999575965	8.469621607	9.082318522	8.889998257	NaN	7.903491529	7.707187155	6.736939708	NaN	7.896463885	6.927718327	8.026478519	8.086101495	7.893604772	7.439534649	7.301529386	7.202627275	6.767403826	7.522450767	NaN	7.066899672	7.05109079	7.261956733	6.594260032	7.016452542	7.364346482	7.313275692	7.42934558	7.467426078	NaN	7.169084916	8.037230428	NaN	7.652208626	7.758379677	8.084762506	8.853603923	9.322527535	NaN	6.841303835	NaN	7.47317009	7.843075737	8.354688394	NaN	6.850925527	7.059214972	7.426303515	7.386535545	8.157143253	7.964068428	8.384198186	7.776733871	7.034359737	7.789339957	8.014531883	7.720455441	9.036287074	7.285075515	NaN	7.727328946	8.746560488	7.965921013	8.680592026	8.274976925	8.596147177	8.279392004	8.293813194	9.075882954	8.558529418	7.51934227	8.353169119	9.658500967	7.848192142	8.401053606	8.676029043	7.10604807	7.808493888	7.498226458	8.923473026	NaN	8.098982727	8.021023826	8.03042565	9.059767493	8.056073567	7.943180805	8.783580539	8.145812751	7.697578914	8.087388107	8.228046519	NaN	6.868899475	NaN	7.340200147	7.452212863	9.037590862	9.164649324	8.757794001	7.141020001	7.602449607	7.367432354	6.949127448	6.755947308	NaN	7.930524208	8.821204107	8.110848866	9.301000897	8.41893735	7.303243611	7.840748281	8.536184588	8.577304485	8.138458072	8.802633224	NaN	NaN	8.796811951	9.583971889	8.979087888	8.470996703	8.964301596	7.609889896	6.96179879	8.319036485	9.147029811	8.51286816	7.881344142
COG4238	8.997100548	10.03138018	7.782729119	9.582204315	9.240614138	9.640458579	6.974988602	6.740646152	9.079477913	8.736445109	9.734959761	6.982293897	7.003555351	6.813361518	6.58301969	NaN	NaN	NaN	9.761138178	9.549167625	7.270383019	6.942206096	NaN	7.609858971	6.972251034	8.844625644	8.900415746	8.743874138	7.731120385	7.090367442	7.879243876	7.648682938	7.162725699	NaN	7.488530989	7.302765893	9.198434386	8.094271933	NaN	6.760525088	6.6152324	6.909560361	NaN	6.914369658	6.763377148	7.125835746	6.973113115	7.434350121	NaN	9.311098748	9.417760573	6.615918609	6.780282092	6.697401195	6.59886281	6.835238353	7.146041199	6.143455432	NaN	7.463721342	10.10156493	10.13421856	7.204873942	7.185068819	7.315456042	7.302534411	6.682086474	6.284778256	9.099556342	9.299213021	8.808383846	7.114010195	7.195766882	7.033041609	7.523777685	8.089753262	8.337469247	7.527810295	8.011193924	6.750862397	7.045475581	8.812738936	8.175552403	7.407288923	6.859039834	NaN	NaN	6.906869283	7.375429507	7.148439178	6.297751978	7.209354162	6.977561789	6.62527962	NaN	9.28284181	9.226311139	9.908734265	7.043224736	8.34711721	7.687799985	7.841829187	8.136019427	NaN	6.775204067	NaN	NaN	8.142186042	7.66673976	8.308278349	6.633996459	7.156249251	NaN	9.226311139	8.189672755	7.914089706	8.14074367	8.697499603	7.552360342	8.561945291	8.68030106	8.373151169	6.149311814	6.785987258	7.370161385	9.727453413	9.945424267	10.01827182	9.631256008	9.325154285	8.560340704	6.433685206	NaN	6.514400439	6.984954242	6.996947105	7.772794632	8.436329653	6.804537478	7.15525406	6.981185997	7.17076031	8.146202483	9.366712391	9.551075319	10.02136298	8.857009672	8.813933752	9.211990396	6.57021955	6.901788467	6.896542255	6.084691002	7.511813882	8.311083898	7.705520766	7.246545381	NaN	7.381091623	NaN	6.943607329	7.361863787	NaN	7.916768111	8.017951073	7.671020035	9.495294512	7.800449692	8.777561658	9.33924468	6.782057553	7.723843827	7.900667486	9.632992491	9.813280681	9.772606986
COG1020	9.338798734	8.072639892	7.187557409	8.187840123	7.390776207	7.970456603	7.479609871	7.892595929	7.927363181	8.977325701	9.206197097	8.47913554	8.717247651	7.549720005	7.309233821	8.835866854	7.432557413	7.980142737	7.50390368	7.922906407	8.68293016	8.05665068	8.887584896	6.920949943	7.454797176	8.320033232	8.329896779	8.135313334	7.820179981	8.271105472	8.091652191	7.952324203	7.795244726	8.22807272	8.168139945	8.044402556	8.928695351	7.435495278	7.961228733	7.8630153	7.7365122	6.870040339	7.295395349	7.333209627	7.226096786	7.32563635	7.725318407	7.724556931	8.412458029	8.880774733	8.177412112	6.246144156	7.988736834	7.35326172	8.007688948	7.889092188	7.975581194	8.6542645	7.902328169	8.951008516	8.8334682	8.404457891	9.082487364	7.708745446	8.525768246	8.54036577	8.161199946	8.43277598	8.670737683	8.509115118	9.008267938	7.866054477	8.197939637	7.803497545	9.062727439	9.215110593	6.65803249	6.508704883	7.412005703	8.185476541	8.498071972	7.98757824	8.2305677	8.765608212	8.705027661	8.289918653	7.164501591	7.581007279	7.554708384	6.820836405	7.46098576	7.190559181	7.222808807	7.234205902	6.569057848	9.067787688	9.445725976	8.558573464	8.263323787	8.03459686	8.174516147	7.36557972	6.293917169	8.167270065	7.707726843	7.903716011	8.137674399	8.144157742	7.649584857	9.215520135	7.670380399	7.540956321	7.767738254	8.030137258	8.977379874	8.114649012	7.731115061	6.907363037	7.991284573	7.577023716	7.941042106	8.409282887	9.15285089	9.059846772	8.369476914	7.825068284	8.570502779	8.263216105	8.79664745	6.485545544	8.204667665	7.501803241	NaN	7.779289065	9.316192744	9.461746085	8.641126934	8.210984305	9.203887356	8.206933765	7.738047195	7.457020034	7.58065133	9.020291077	7.791409642	7.652316761	7.092116879	7.79506313	7.520888175	6.809707215	7.218773882	7.239567508	8.983229744	8.365797966	7.961414928	8.1800094	8.618476634	7.540619754	NaN	7.403647209	7.028180741	7.002792247	7.901052723	6.830937568	6.696415893	8.313323593	7.988605777	8.502961603	7.927879313	8.328374508	7.678708635	7.235242804	7.83947554	8.512379377	7.967085314	7.580781909
COG3981	7.807149275	8.166059906	NaN	NaN	NaN	8.364981514	7.557099195	NaN	NaN	NaN	7.96375101	NaN	7.451090716	6.99657738	NaN	8.495734388	7.305681931	7.230369745	6.719436615	6.687389911	8.087266634	7.792091089	NaN	7.416142714	NaN	8.813913754	NaN	8.648355132	6.955503557	7.840004419	NaN	6.733743683	7.712762477	7.341448394	7.305001665	7.649999823	NaN	NaN	7.224130979	7.395896648	7.286864995	8.768877749	6.293446753	6.954550797	7.187875936	7.867472679	6.84478033	8.203633031	8.773821393	8.875552434	NaN	7.187968913	7.088809202	7.662226922	NaN	NaN	7.516843052	7.230466829	7.379379876	7.967990474	NaN	NaN	7.388308366	7.213854994	NaN	7.358233817	7.603807773	7.136945613	NaN	7.300747634	NaN	NaN	7.46867811	NaN	7.433499431	7.30436774	NaN	7.013267132	6.759382325	NaN	NaN	8.108098011	8.734518208	8.812914694	7.178139217	6.705050016	7.840081059	6.807064694	7.593298265	NaN	7.647538281	7.760199858	NaN	NaN	6.930341766	NaN	NaN	NaN	8.051410131	6.860838564	NaN	NaN	6.823568186	NaN	7.846893549	8.143996324	NaN	NaN	7.94784283	NaN	7.574694028	7.393359336	7.290824553	NaN	8.17585668	7.315069373	8.061286575	8.881832988	9.060040237	7.791235777	7.26205936	8.432946856	NaN	6.395212955	NaN	8.427143539	8.416545653	8.832934058	7.12147452	6.858729099	9.077821951	7.943529144	8.269639014	7.75545713	7.532472837	7.351423306	NaN	7.00607226	7.022797797	7.180636201	7.34850543	NaN	7.711711935	NaN	NaN	NaN	NaN	7.922874872	NaN	7.368645722	7.576797304	NaN	NaN	7.948007342	8.708991653	8.90728557	NaN	8.95376631	8.463355386	8.106269114	NaN	7.539024646	7.85296526	6.4180345	6.616245545	9.129028927	8.672742354	NaN	7.724933377	NaN	NaN	NaN	7.840735121	8.157952134	NaN	NaN
COG0769	9.05587504	8.506266038	8.590889742	9.263138771	7.762204264	8.337711979	7.364905434	7.613533173	8.804001487	9.639526331	8.473524195	7.134158964	7.57682124	7.941040614	7.809705808	8.687530746	8.172858241	8.282332262	8.075130719	7.757578979	7.948462951	8.155352228	8.544625694	7.62172401	7.878922592	8.233953552	8.03748467	8.511558522	8.432866556	9.089333975	9.000343001	8.063282573	7.995563381	7.886227254	8.02922014	8.154584943	8.961437707	8.223217106	8.092118568	8.130385594	8.415965247	7.814325662	8.287804777	7.850691567	7.760837737	7.543299669	7.965098272	7.949222605	9.867304311	9.701568425	9.46797965	7.421670398	7.998591041	8.29223879	7.977294178	8.117065342	8.184967534	7.938709367	8.772853832	9.177569889	8.477738673	8.216923451	8.054342402	8.077014733	7.952567108	7.334908336	8.018374243	7.564290314	7.75902689	7.911201308	8.04194137	8.461799309	8.209947354	7.916789152	8.673269464	8.979693826	7.702659437	7.990328246	7.910322754	8.184838728	8.470596638	9.059480224	9.2865283	9.450547945	8.196258478	7.940282844	8.249664896	8.121270977	9.296001793	9.249042767	7.986717023	8.095523657	7.799554411	7.995392497	7.92056351	8.23029646	8.264954036	8.580834461	8.377909547	7.749388749	8.238661805	7.975783197	8.092180391	8.848033668	7.524846879	7.429881435	7.355599025	8.659054074	8.096320053	8.583356929	8.191568518	7.98436212	7.425168584	9.321496193	9.536229681	9.198282333	8.079538636	7.899952691	8.865278724	7.774337233	8.875732072	9.406751316	9.076958204	7.577839567	NaN	9.328561032	9.632864733	10.00040738	9.021182909	8.925846956	9.396687436	8.256018852	7.912801196	8.493072244	8.160400098	8.512366817	8.484992735	7.879396403	7.93860538	7.888744333	8.631218426	8.604433537	8.767749516	9.067965132	8.875186439	8.628875477	7.670515542	7.599446387	8.633410176	8.275883557	8.22760417	8.186946173	8.054683941	8.448935463	8.71267857	9.543242846	9.594278735	9.836869692	10.17911184	9.52516021	8.169065763	8.690986575	8.94190669	7.982031224	8.456212045	9.612047899	9.79722918	10.01323196	8.980256144	9.627445743	8.160140664	8.848269994	8.920667294	8.771723282	7.607010861	7.920198387
COG3311	NaN	NaN	NaN	8.023816063	7.409441112	NaN	7.090078124	7.065893317	NaN	7.798875681	8.069164708	7.168087775	NaN	NaN	NaN	8.046931974	7.173998746	NaN	NaN	6.699480521	NaN	NaN	NaN	7.655231635	NaN	7.803131279	7.783021244	8.450238329	7.990044345	8.044814051	8.91774596	NaN	7.693172747	6.641832999	NaN	NaN	NaN	NaN	7.52171198	7.854592648	7.127713712	6.771153043	NaN	6.792715258	6.62328455	7.349555329	6.566742746	7.866273755	8.149339223	8.04328367	8.198549877	7.30729277	6.900462772	NaN	NaN	7.691315833	NaN	6.731055117	7.687063214	7.972887081	6.730519925	6.321627631	7.275465715	6.850604029	NaN	7.169809608	NaN	NaN	7.008949213	6.907839585	6.958443038	NaN	6.674633467	7.171741105	8.011773381	7.913812798	NaN	6.756782192	NaN	NaN	NaN	NaN	7.829732715	8.910864961	NaN	NaN	NaN	7.195423632	6.921718773	7.340660237	NaN	NaN	6.419794055	8.21624774	6.892743388	8.028896449	7.775948877	8.71356362	8.143242826	7.290753408	6.846296341	7.553019658	7.533701547	NaN	7.231742239	NaN	NaN	8.488096445	NaN	NaN	6.888542341	NaN	NaN	8.969846266	NaN	7.842603006	NaN	NaN	7.546164972	7.163376113	7.385277318	8.559376296	NaN	7.695197024	NaN	8.150581462	8.713419136	8.223392095	7.836810057	NaN	8.318138497	NaN	6.893176263	7.264350256	7.044257495	7.136317818	NaN	NaN	NaN	NaN	7.817226137	NaN	NaN	NaN	NaN	7.842285276	7.079391141	NaN	NaN	7.371069729	NaN	7.227477941	NaN	NaN	NaN	7.969418247	9.40214957	NaN	NaN	NaN	NaN	7.146676792	NaN	7.363918341	NaN	8.899362995	8.199107643	8.307596579	7.959473567	7.765052067	7.450666277	7.850904658	8.155912692	NaN	7.174368068	NaN
COG5277	10.54429678	9.820068063	9.987193735	10.07857081	9.988846905	9.994379542	9.302356908	9.30782324	9.830968911	10.47715021	9.938081066	9.212501888	9.325790602	9.60528026	9.065609588	10.43878593	8.516740245	8.693370753	8.950695805	8.966396132	9.129966876	9.387706532	10.45980814	9.156273466	7.673687061	10.24905949	9.046585292	10.33438337	9.756371344	10.34129699	10.50776355	9.260784287	9.329005108	9.227176863	9.056058296	9.485697838	10.29357172	8.8089533	8.903575583	9.237528658	9.502387513	8.818748977	8.987342658	8.89955952	8.919743675	8.061358225	8.497852581	9.347445993	10.52855421	10.19693574	10.12879654	8.711573576	9.242402273	9.519337148	8.927497143	9.456983628	9.649930388	9.120007664	9.085029995	10.05296563	8.530733592	8.262118718	8.853252071	8.967264751	9.195057911	8.98014978	9.745858314	9.37685241	8.219327753	8.22638593	8.393378631	9.662171138	9.004880008	9.378670385	9.334516076	9.252070524	8.642112689	8.976747404	8.762123904	9.062235915	9.170632175	9.774578274	10.11823496	10.48319394	9.037294995	8.619443966	8.995776866	9.042449498	9.407744316	10.1378299	8.821827837	8.706103877	8.919260144	8.717141041	8.838241914	9.115250947	8.74553462	9.655449661	9.602048005	8.075123778	8.306107503	8.567952932	8.525821048	10.05150333	9.605038784	9.635446549	9.807803504	9.739132052	9.200281276	9.805259992	9.028664771	8.875786798	9.733068804	10.65326817	10.70438297	10.44971437	9.11038093	9.498599987	10.19985299	9.151632674	9.773662134	10.26374019	9.25034436	9.017168242	8.95397215	10.30908909	10.22591119	10.32127496	10.22117159	9.617725657	10.61636627	9.344132799	9.420532103	9.813288058	9.02878672	8.923321232	9.361145869	9.809458906	9.136003549	9.616192894	9.352319541	8.852085779	9.723851201	10.13939549	10.06332195	10.14249249	9.264763533	9.468075442	10.27167436	8.046725326	8.492546626	8.740769946	8.96810593	9.418460393	9.334135957	10.33658856	9.652531102	10.56532706	10.19444774	9.992773481	8.965681842	9.430863233	9.454002885	9.174908369	9.039060988	10.56177259	10.50097568	10.64052773	10.35694446	11.08441897	9.369406979	9.771569844	9.93956817	10.25860855	9.819237189	9.569504881
